	 Intel oneAPI 2021
  ------------------------ Esperando 1 segundos ------------
4	  0.288424
5	  0.241854
6	  0.208432
7	  0.191433
8	  0.179763
9	  0.175130
10	  0.163924
11	  0.154135
12	  0.151954
13	  0.151725
14	  0.142076
15	  0.144907
16	  0.642954
  ------------------------ Esperando 2 segundos ------------
4	  0.263561
5	  0.237861
6	  0.206418
7	  0.196445
8	  0.177521
9	  0.177622
10	  0.159751
11	  0.163115
12	  0.147268
13	  0.155884
14	  0.141445
15	  0.140791
16	  0.601324
  ------------------------ Esperando 3 segundos ------------
4	  0.263586
5	  0.237958
6	  0.208069
7	  0.200789
8	  0.176451
9	  0.332399
10	  0.164195
11	  0.156266
12	  0.149603
13	  0.146542
14	  0.143121
15	  0.136588
16	  0.573330
  ------------------------ Esperando 4 segundos ------------
4	  0.266547
5	  0.236113
6	  0.210113
7	  0.195941
8	  0.174670
9	  0.174161
10	  0.157292
11	  0.158200
12	  0.152790
13	  0.149239
14	  0.145683
15	  0.142877
16	  0.573352
  ------------------------ Esperando 5 segundos ------------
4	  0.264049
5	  0.236019
6	  0.202648
7	  0.193258
8	  0.173506
9	  0.172266
10	  0.160553
11	  0.154610
12	  0.145079
13	  0.149643
14	  0.145307
15	  0.141658
16	  0.623903
  ------------------------ Esperando 6 segundos ------------
4	  0.264009
5	  0.239080
6	  0.210986
7	  0.195018
8	  0.173444
9	  0.170829
10	  0.172767
11	  0.159777
12	  0.152244
13	  0.151863
14	  0.141286
15	  0.140685
16	  0.630016
  ------------------------ Esperando 7 segundos ------------
4	  0.265990
5	  0.236153
6	  0.205065
7	  0.196250
8	  0.177504
9	  0.174356
10	  0.157190
11	  0.158975
12	  0.147943
13	  0.148206
14	  0.145967
15	  0.156183
16	  0.588014
  ------------------------ Esperando 8 segundos ------------
4	  0.267302
5	  0.236573
6	  0.203860
7	  0.199322
8	  0.176556
9	  0.172168
10	  0.160761
11	  0.156093
12	  0.150455
13	  0.271332
14	  0.175531
15	  0.142678
16	  0.570318
  ------------------------ Esperando 9 segundos ------------
4	  0.265788
5	  0.243629
6	  0.210600
7	  0.195696
8	  0.176909
9	  0.176513
10	  0.163701
11	  0.166266
12	  0.152382
13	  0.144719
14	  0.137927
15	  0.136094
16	  0.608012
  ------------------------ Esperando 10 segundos ------------
4	  0.264171
5	  0.241571
6	  0.211176
7	  0.197781
8	  0.177931
9	  0.173851
10	  0.160458
11	  0.158335
12	  0.152202
13	  0.164935
14	  0.142092
15	  0.136895
16	  0.613013
  ------------------------ Esperando 11 segundos ------------
4	  0.258439
5	  0.237505
6	  0.224906
7	  0.203368
8	  0.180393
9	  0.174494
10	  0.158811
11	  0.160251
12	  0.164029
13	  0.151916
14	  0.142309
15	  0.136683
16	  0.556014
  ------------------------ Esperando 12 segundos ------------
4	  0.268196
5	  0.239164
6	  0.210858
7	  0.207726
8	  0.177303
9	  0.172395
10	  0.156582
11	  0.156190
12	  0.148408
13	  0.157117
14	  0.138840
15	  0.140803
16	  0.600331
  ------------------------ Esperando 13 segundos ------------
4	  0.270566
5	  0.235687
6	  0.214129
7	  0.202710
8	  0.176814
9	  0.178628
10	  0.160933
11	  0.162723
12	  0.157477
13	  0.152499
14	  0.142463
15	  0.142122
16	  0.623012
  ------------------------ Esperando 14 segundos ------------
4	  0.264087
5	  0.244191
6	  0.209368
7	  0.197763
8	  0.174983
9	  0.171473
10	  0.156501
11	  0.159841
12	  0.145151
13	  0.150393
14	  0.145450
15	  0.136712
16	  0.590012
  ------------------------ Esperando 15 segundos ------------
4	  0.264733
5	  0.242156
6	  0.206149
7	  0.190462
8	  0.180072
9	  0.173054
10	  0.158443
11	  0.153775
12	  0.151038
13	  0.148268
14	  0.144203
15	  0.142341
16	  0.568302
  ------------------------ Esperando 16 segundos ------------
4	  0.266844
5	  0.237548
6	  0.210389
7	  0.197908
8	  0.179646
9	  0.176575
10	  0.160146
11	  0.159638
12	  0.152958
13	  0.145580
14	  0.159348
15	  0.141456
16	  0.604013
